game_user_id,install_date,ua_cost,ltv_d3,ltv_d7,ltv_d30,ltv_d90,is_payer_by_d3,is_payer_by_d7,is_payer_by_d30,is_payer_by_d90,profit_d90,late_monetizer_flag,false_early_payer_flag,active_days_w7d,sessions_cnt_w7d,max_level_w7d
player_00048,2024-11-30,9.74,0,0,0,0,0,0,0,0,-9.74,0,0,4,5,13
player_00049,2024-11-03,0,0,0,0,0,0,0,0,0,0,0,0,3,6,20
player_00050,2024-11-02,9.68,0,0,0,0,0,0,0,0,-9.68,0,0,2,4,22
player_00051,2025-01-24,3.46,0,0,0,0,0,0,0,0,-3.46,1,0,6,13,27
player_00052,2024-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
player_00053,2024-12-11,9.41,11.57,127.62,292.56,314.22,1,1,1,1,304.81,0,0,4,8,34
player_00054,2024-11-10,5.73,3.36,8.4,52.76,81.95,1,1,1,1,76.22,0,0,4,8,31
player_00055,2024-10-12,4.25,0,0,0,0,0,0,0,0,-4.25,0,0,0,0,11
player_00056,2025-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
player_00057,2025-01-04,3.77,3.87,59.7,209.12,238.09,1,1,1,1,234.32,0,0,4,8,28
player_00058,2025-01-26,4.45,0,0,0,0,0,0,0,0,-4.45,0,0,2,3,14
player_00059,2024-10-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
player_00060,2024-12-27,4.85,0,0,0,0,0,0,0,0,-4.85,0,0,5,11,31
player_00061,2024-11-03,2.49,0.99,49.79,186.56,287.14,1,1,1,1,284.65,0,0,6,13,39
player_00062,2024-12-29,0,0,0,0,0,0,0,0,0,0,0,0,2,3,16
player_00063,2025-01-10,4.59,4.81,151.91,189.37,237.07,1,1,1,1,232.48,0,0,5,11,41
player_00064,2024-10-10,5.68,0,0,0,0,0,0,0,0,-5.68,0,0,2,3,13
player_00065,2024-11-28,4.27,13.67,126.92,240.67,257.31,1,1,1,1,253.04,0,0,3,7,15
player_00066,2024-10-30,0,0.99,20.8,133.13,198.61,1,1,1,1,198.61,0,0,1,2,2
player_00067,2024-12-05,0,2.93,2.93,58.13,72.97,1,1,1,1,72.97,0,0,0,0,7
player_00068,2025-01-24,1.43,0,0,0,0,0,0,0,0,-1.43,0,0,1,1,12
player_00069,2024-10-02,3.72,0,0,0,0,0,0,0,0,-3.72,0,0,2,4,16
player_00070,2024-11-28,5.95,0,0,0,0,0,0,0,0,-5.95,0,0,0,0,3
player_00071,2025-01-13,4.76,0,0,0,0,0,0,0,0,-4.76,0,0,1,1,5
player_00072,2025-01-07,5.91,0,0,0,0,0,0,0,0,-5.91,0,0,3,8,35
player_00073,2024-10-14,9.84,0,0,0,0,0,0,0,0,-9.84,0,0,5,11,23
player_00074,2024-10-20,9.73,0,0,0,0,0,0,0,0,-9.73,0,0,2,5,10
player_00075,2024-10-09,0,1.88,24.87,70.28,92.74,1,1,1,1,92.74,0,0,2,4,35
player_00076,2024-12-17,8.46,0,0,0,0,0,0,0,0,-8.46,0,0,1,2,9
player_00077,2024-10-19,5.94,0,0,0,0,0,0,0,0,-5.94,0,0,5,11,37
player_00078,2024-12-14,7.2,1.69,6.21,10.68,67.32,1,1,1,1,60.12,0,0,6,14,42
player_00079,2024-10-08,8.16,2.22,23.66,190.48,201.12,1,1,1,1,192.96,0,0,5,11,33
player_00080,2024-10-11,1.95,1.98,31.21,32.2,181,1,1,1,1,179.05,0,0,4,9,24
player_00081,2025-01-20,6.85,0,0,0,0,0,0,0,0,-6.85,0,0,1,1,4
player_00082,2024-11-20,6.94,0,3.97,3.97,26.27,0,1,1,1,19.33,0,0,1,1,4
player_00083,2025-01-21,5.34,0,0,0,0,0,0,0,0,-5.34,0,0,5,10,29
player_00084,2024-11-27,0,4.69,46.5,51.36,74.19,1,1,1,1,74.19,0,0,0,0,4
player_00085,2025-01-18,2.79,2.96,22.33,22.33,42.07,1,1,1,1,39.28,0,0,2,4,13
player_00086,2024-11-27,6.01,0,0,0,0,0,0,0,0,-6.01,0,0,1,2,8
player_00087,2024-11-05,4.31,5.98,131.77,156.45,189.39,1,1,1,1,185.08,0,0,2,4,39
player_00088,2024-12-09,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
player_00089,2024-10-23,8.34,1.01,22.78,67.96,132.1,1,1,1,1,123.76,0,0,4,8,39
player_00090,2024-10-06,10.03,0,0,0,0,0,0,0,0,-10.03,0,0,3,6,14
player_00091,2025-01-05,2,0,0,0,0,0,0,0,0,-2,0,0,2,4,6
player_00092,2025-01-14,5.46,0,0,0,0,0,0,0,0,-5.46,0,0,5,10,25
player_00093,2024-12-02,8.41,0,0,0,0,0,0,0,0,-8.41,0,0,0,0,10
player_00094,2024-11-26,4.38,10.08,14.84,73.62,102.14,1,1,1,1,97.76,0,0,1,1,13
player_00095,2024-11-12,3.09,13.47,34.08,111.84,217.27,1,1,1,1,214.18,0,0,5,11,29
player_00096,2024-11-23,0,0,0,0,0,0,0,0,0,0,0,0,7,16,20
player_00097,2024-12-04,5.14,2.92,32.83,68.12,89.45,1,1,1,1,84.31,0,0,5,10,36
player_00098,2025-01-04,2.28,11.99,87.17,117.43,205.72,1,1,1,1,203.44,0,0,5,11,28
player_00099,2025-01-11,11.4,0,0,0,0,0,0,0,0,-11.4,0,0,0,0,16
player_00100,2024-10-18,2.36,24.45,69.46,240.85,345.4,1,1,1,1,343.04,0,0,3,6,24
player_00101,2024-11-15,4.79,0,0,0,0,0,0,0,0,-4.79,0,0,2,3,20
player_00102,2024-12-25,0,0,0,0,0,0,0,0,0,0,0,0,4,8,21
player_00103,2024-10-13,7.83,15.88,79.98,154.43,187.42,1,1,1,1,179.59,0,0,6,13,31
player_00104,2024-11-27,6.01,0,0,0,0,0,0,0,0,-6.01,0,0,3,7,19
player_00105,2024-10-11,1.44,7.08,7.08,67.76,187.82,1,1,1,1,186.38,0,0,7,15,68
player_00106,2025-01-25,3.22,0,8.9,17.98,45.02,0,1,1,1,41.8,0,0,0,0,6
player_00107,2024-12-25,6.35,0,0,0,0,0,0,0,0,-6.35,0,0,2,3,7
player_00108,2024-11-06,0,5.25,25.4,35.51,50.2,1,1,1,1,50.2,0,0,0,0,6
player_00109,2024-10-30,8.05,15.38,143.4,170,222.56,1,1,1,1,214.51,0,0,6,12,36
player_00110,2025-01-08,5.12,19.49,34.52,65.66,161.12,1,1,1,1,156,0,0,4,9,12
player_00111,2024-12-01,6.4,0,0,0,0,0,0,0,0,-6.4,0,0,2,2,15
player_00112,2024-12-12,0,31.86,91.6,161.79,194.33,1,1,1,1,194.33,0,0,6,13,27
player_00113,2025-01-04,3.77,0,0,0,0,0,0,0,0,-3.77,0,0,4,9,22
player_00114,2025-01-11,4.9,0,0,0,0,0,0,0,0,-4.9,0,0,3,4,5
player_00115,2024-12-25,8.53,0,0,0,0,0,0,0,0,-8.53,0,0,6,13,29
player_00116,2024-12-07,6.47,0.99,5.7,13.84,18.24,1,1,1,1,11.77,0,0,4,8,30
player_00117,2024-12-08,6.65,0.99,21.52,25.91,143.8,1,1,1,1,137.15,0,0,2,3,8
player_00118,2024-11-05,0,6.49,16.86,91.5,107.06,1,1,1,1,107.06,0,0,5,10,35
player_00119,2024-12-08,9.64,0,0,42.23,158.56,0,0,1,1,148.92,1,0,6,14,42
player_00120,2024-10-13,2.25,1.8,46.62,60.21,154.46,1,1,1,1,152.21,0,0,4,4,8
player_00121,2025-01-09,6.59,0,0,0,0,0,0,0,0,-6.59,0,0,1,1,17
player_00122,2024-10-15,9.16,0,0,0,0,0,0,0,0,-9.16,0,0,3,7,37
player_00123,2025-01-24,1.43,9.82,18.89,103.05,135.16,1,1,1,1,133.73,0,0,6,12,22
player_00124,2025-01-19,6.47,106.72,106.72,167.52,197.12,1,1,1,1,190.65,0,0,2,5,26
player_00125,2024-11-15,0,5.18,5.18,19.59,39.58,1,1,1,1,39.58,0,0,2,2,6
player_00126,2024-10-10,3.82,0,0,0,0,0,0,0,0,-3.82,0,0,3,6,6
player_00127,2024-10-15,9.16,6.46,26.69,100.94,111.81,1,1,1,1,102.65,0,0,3,6,33
player_00128,2024-11-18,8.26,0,0,0,0,0,0,0,0,-8.26,0,0,6,12,39
player_00129,2024-10-31,6.81,2.87,63.82,108.42,132,1,1,1,1,125.19,0,0,5,11,29
player_00130,2025-01-10,3.42,0,0,0,0,0,0,0,0,-3.42,0,0,4,8,21
player_00131,2025-01-27,3.66,5.26,26.96,38.4,255.76,1,1,1,1,252.1,0,0,3,7,27
player_00132,2025-01-07,4.58,0,0,0,0,0,0,0,0,-4.58,1,0,5,10,44
player_00133,2024-12-24,4.38,0,0,0,0,0,0,0,0,-4.38,0,0,6,12,40
player_00134,2024-11-04,4.32,0,0,0,0,0,0,0,0,-4.32,0,0,6,12,40
player_00135,2024-10-14,6.36,10.26,90.04,186.46,209.58,1,1,1,1,203.22,0,0,6,12,25
player_00136,2024-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
player_00137,2024-10-07,2.62,0,0,0,0,0,0,0,0,-2.62,0,0,0,0,3
player_00138,2024-11-02,6.82,0,0,82.37,590.42,0,0,1,1,583.6,1,0,6,12,46
player_00139,2024-12-25,0,0,0,0,0,0,0,0,0,0,0,0,6,14,46
player_00140,2024-11-25,3.77,0,0,0,0,0,0,0,0,-3.77,0,0,0,0,4
player_00141,2024-10-05,4.33,5.6,6.63,66.83,90.27,1,1,1,1,85.94,0,0,1,3,12
player_00142,2024-12-11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
player_00143,2024-12-23,1.84,0,0,0,0,0,0,0,0,-1.84,0,0,3,3,20
player_00144,2025-01-04,10.02,0.99,15.88,24.9,105.86,1,1,1,1,95.84,0,0,3,6,45
player_00145,2024-12-05,7.2,0,0,0,0,0,0,0,0,-7.2,0,0,4,9,22
player_00146,2024-10-13,2.12,0,0,0,0,0,0,0,0,-2.12,0,0,4,9,23
player_00147,2025-01-13,4.46,0,0,0,0,0,0,0,0,-4.46,1,0,6,12,30
player_00148,2025-01-09,2.15,85.62,96.74,142.08,142.08,1,1,1,1,139.93,0,1,6,13,26
player_00149,2024-11-17,8.67,0,0,0,0,0,0,0,0,-8.67,0,0,3,3,9
player_00150,2024-10-05,0,140.36,259.04,259.04,259.04,1,1,1,1,259.04,0,1,2,4,24
player_00151,2024-11-19,0,0,0,0,0,0,0,0,0,0,0,0,7,15,28
player_00152,2024-10-31,7.41,8.73,13.56,41.42,81.89,1,1,1,1,74.48,0,0,4,8,20
player_00153,2024-12-03,0,7.28,168,296.98,438.51,1,1,1,1,438.51,0,0,7,15,30
player_00154,2024-10-11,6.95,4.83,45.45,54.46,58.92,1,1,1,1,51.97,0,0,0,0,9
player_00155,2025-01-01,10,53.75,63.84,92.79,97.56,1,1,1,1,87.56,0,0,6,12,17
player_00156,2024-12-08,0,0,0,0,0,0,0,0,0,0,0,1,6,12,28
player_00157,2024-10-20,9.62,0,6.33,7.36,38.31,0,1,1,1,28.69,0,0,4,8,32
player_00158,2024-12-08,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11
player_00159,2025-01-14,4.38,2.06,33.49,38.53,103.19,1,1,1,1,98.81,0,0,0,0,10
player_00160,2024-11-24,3.17,0,0,0,0,0,0,0,0,-3.17,0,0,2,4,19
player_00161,2024-10-23,1.24,5.57,34.13,56.51,185.06,1,1,1,1,183.82,0,0,4,8,33
player_00162,2025-01-10,3.42,0,0,0,0,0,0,0,0,-3.42,0,0,0,0,2
player_00163,2024-11-15,2.06,0,0,0,0,0,0,0,0,-2.06,0,0,5,10,33
player_00164,2025-01-14,5.46,2.84,93.1,111.43,117.67,1,1,1,1,112.21,0,0,3,7,16
player_00165,2024-11-17,7.98,11.49,31.69,110.81,126.28,1,1,1,1,118.3,0,0,4,8,12
player_00166,2024-11-07,8.07,0,0,0,0,0,0,0,0,-8.07,0,0,0,0,4
player_00167,2024-12-02,7.85,0,0,0,0,0,0,0,0,-7.85,0,0,0,0,9
player_00168,2024-10-15,0,2.84,18.36,39.67,113.41,1,1,1,1,113.41,0,0,0,0,2
player_00169,2024-11-01,8.31,4.42,50.72,55.15,63.16,1,1,1,1,54.85,0,0,1,2,8
player_00170,2025-01-02,1.7,16.98,22.24,52.09,110.33,1,1,1,1,108.63,0,0,1,1,10
player_00171,2025-01-12,4.22,0,0,0,0,0,0,0,0,-4.22,0,0,7,15,70
player_00172,2024-11-04,4.32,0,0,0,0,0,0,0,0,-4.32,0,0,2,3,11
player_00173,2025-01-21,9.15,0,0,0,0,0,0,0,0,-9.15,0,0,5,10,28
player_00174,2025-01-02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
player_00175,2024-11-07,8.07,0,0,0,0,0,0,0,0,-8.07,0,0,2,2,6
player_00176,2024-10-21,6.14,0,0,0,0,0,0,0,0,-6.14,0,0,1,2,6
player_00177,2024-11-16,9.9,0,0,0,0,0,0,0,0,-9.9,0,0,1,2,5
player_00178,2024-12-15,3.09,11.36,41.53,59.9,79.74,1,1,1,1,76.65,0,0,6,12,35
player_00179,2024-10-13,4.57,0,0,0,0,0,0,0,0,-4.57,0,0,0,0,5
player_00180,2025-01-12,2.52,0,0,0,0,0,0,0,0,-2.52,0,0,0,0,5
player_00181,2024-10-11,8.17,0,0,0,0,0,0,0,0,-8.17,0,0,1,2,8
player_00182,2024-12-09,8.44,0,0,0,0,0,0,0,0,-8.44,0,0,0,0,8
player_00183,2024-12-18,0,10.72,179.33,249.78,283.69,1,1,1,1,283.69,0,0,5,11,26
player_00184,2024-10-09,7.93,0,0,0,0,0,0,0,0,-7.93,0,0,1,1,6
player_00185,2025-01-09,7.52,0,0,0,0,0,0,0,0,-7.52,0,0,3,6,9
player_00186,2024-12-10,9.3,0,0,0,0,0,0,0,0,-9.3,0,0,3,6,29
player_00187,2024-11-08,8.63,57.05,61.32,75.21,133.08,1,1,1,1,124.45,0,0,6,14,45
player_00188,2024-10-08,8.24,2.38,44.36,77.64,326.51,1,1,1,1,318.27,0,0,7,16,60
player_00189,2024-10-29,8.09,0,0,0,0,0,0,0,0,-8.09,0,0,4,8,5
player_00190,2025-01-08,0,8.79,8.79,61.97,157.58,1,1,1,1,157.58,0,0,2,4,18
player_00191,2024-10-27,0,8.25,244.86,366.89,433.88,1,1,1,1,433.88,0,0,5,10,36
player_00192,2024-10-05,3.31,0,0,0,0,0,0,0,0,-3.31,0,0,1,2,5
player_00193,2024-10-20,9.49,0,0,0,0,0,0,0,0,-9.49,0,0,4,8,22
player_00194,2024-11-20,5.33,0,0,0,0,0,0,0,0,-5.33,0,0,3,7,16
player_00195,2025-01-21,0,0,0,0,0,0,0,0,0,0,0,0,3,8,27
player_00196,2024-11-23,5.17,0,0,0,0,0,0,0,0,-5.17,0,0,5,12,40
player_00197,2024-12-08,6.65,2.05,7.57,29.46,86.2,1,1,1,1,79.55,0,0,0,0,8
player_00198,2025-01-12,1.91,0,0,0,0,0,0,0,0,-1.91,0,0,1,1,16
player_00199,2024-12-20,1.43,87.73,137.64,156.98,289.38,1,1,1,1,287.95,0,0,0,0,11
player_00200,2024-12-01,5.16,22.7,57.21,180.19,273.43,1,1,1,1,268.27,0,0,3,6,47
player_00201,2024-11-30,8.2,47.5,122.72,182.69,217.43,1,1,1,1,209.23,0,0,2,4,17
player_00202,2024-10-24,7.81,0,0,0,0,0,0,0,0,-7.81,0,0,7,16,37
player_00203,2025-01-22,3.42,11.01,26.53,42.6,65,1,1,1,1,61.58,0,0,5,10,18
player_00204,2024-10-18,6.82,0,0,0,0,0,0,0,0,-6.82,0,0,3,3,11
player_00205,2024-12-14,10.63,0,0,0,0,0,0,0,0,-10.63,0,0,0,0,9
player_00206,2024-10-27,2.12,0,0,0,0,0,0,0,0,-2.12,0,0,6,12,44
player_00207,2024-10-05,4.33,8.94,23.17,24.16,71.89,1,1,1,1,67.56,0,0,0,0,2
player_00208,2024-12-11,0,0,0,0,0,0,0,0,0,0,0,0,4,8,26
player_00209,2025-01-18,5,0,0,0,0,0,0,0,0,-5,1,0,6,13,22
player_00210,2024-11-18,8.67,24.48,99.07,121.91,138.79,1,1,1,1,130.12,0,0,7,14,50
player_00211,2024-11-27,6.15,2.73,2.73,28,89.61,1,1,1,1,83.46,0,0,1,2,20
player_00212,2024-12-28,7.02,9.6,18.54,23.02,36.12,1,1,1,1,29.1,0,0,5,6,17
player_00213,2024-11-25,0,0,0,0,0,0,0,0,0,0,0,0,5,12,39
player_00214,2024-12-18,6.95,0,0,0,0,0,0,0,0,-6.95,1,0,4,9,23
player_00215,2024-10-14,6.36,0,0,0,0,0,0,0,0,-6.36,0,0,2,2,19
player_00216,2024-11-04,0,10.23,27.65,38.66,79.11,1,1,1,1,79.11,0,0,4,9,34
player_00217,2024-12-19,5.96,0,0,0,0,0,0,0,0,-5.96,0,0,0,0,9
player_00218,2024-11-27,0,5.84,119.4,273.99,397.09,1,1,1,1,397.09,0,0,6,14,41
player_00219,2024-11-26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11
player_00220,2024-10-08,6.62,0,0,0,0,0,0,0,0,-6.62,0,0,2,3,10
player_00221,2025-01-15,6.02,17.84,64.28,72.8,125.74,1,1,1,1,119.72,0,0,0,0,7
player_00222,2024-10-31,4.62,0,0,0,0,0,0,0,0,-4.62,0,0,7,16,41
player_00223,2024-10-26,10.29,5.01,5.01,40.82,141.6,1,1,1,1,131.31,0,0,6,6,5
player_00224,2025-01-03,0,26.47,65.59,82.21,94.23,1,1,1,1,94.23,0,0,3,6,44
player_00225,2024-11-14,6.9,2.46,45.53,46.52,158.29,1,1,1,1,151.39,0,0,4,8,9
player_00226,2025-01-24,3.46,0,0,0,0,0,0,0,0,-3.46,0,0,0,0,10
player_00227,2024-10-10,7.88,0,0,0,0,0,0,0,0,-7.88,0,0,0,0,14
player_00228,2025-01-24,1.43,0,0,0,0,0,0,0,0,-1.43,0,0,2,2,3
player_00229,2025-01-17,4.04,0,0,31.6,152.94,0,0,1,1,148.9,1,0,1,2,30
player_00230,2024-12-13,8.95,7.72,139.6,401.18,449.62,1,1,1,1,440.67,0,0,4,8,50
player_00231,2024-12-19,4.97,57.59,131.36,258.94,314.63,1,1,1,1,309.66,0,0,6,12,20
player_00232,2024-11-15,5.53,0,42.57,46.94,64.91,0,1,1,1,59.38,0,0,1,3,10
player_00233,2024-12-23,8.45,0,0,0,0,0,0,0,0,-8.45,0,0,2,4,9
player_00234,2025-01-26,4.45,0,0,0,0,0,0,0,0,-4.45,0,0,1,1,7
player_00235,2024-12-12,7.67,7.41,18.18,234.11,355.2,1,1,1,1,347.53,0,0,5,11,33
player_00236,2024-11-12,0,0,0,0,0,0,0,0,0,0,0,0,6,13,41
player_00237,2024-10-26,7.06,0,0,0,0,0,0,0,0,-7.06,0,0,7,16,39
player_00238,2025-01-30,5.09,0,0,0,0,0,0,0,0,-5.09,0,0,5,11,41
player_00239,2024-12-17,0,0,0,321.57,516.9,0,0,1,1,516.9,1,0,6,13,26
player_00240,2024-11-26,6.59,5.77,21.41,49.08,176.77,1,1,1,1,170.18,0,0,3,6,25
player_00241,2024-10-15,2.41,0,0,0,0,0,0,0,0,-2.41,0,0,0,0,9
player_00242,2024-12-16,6.2,4.47,35.62,45.13,70.58,1,1,1,1,64.38,0,0,2,4,39
player_00243,2025-01-20,8.42,0,0,0,0,0,0,0,0,-8.42,0,0,1,1,3
player_00244,2024-11-05,7.04,0,0,0,0,0,0,0,0,-7.04,0,0,3,7,7
player_00245,2024-10-16,7.06,2.98,73.16,91.35,182.11,1,1,1,1,175.05,0,0,2,4,42
player_00246,2025-01-10,3.01,0,0,0,0,0,0,0,0,-3.01,0,0,2,2,15
player_00247,2024-11-28,7.81,23.56,68.82,98.84,125.8,1,1,1,1,117.99,0,0,7,16,36
player_00248,2025-01-12,2.52,0,0,0,0,0,0,0,0,-2.52,0,0,0,0,10
player_00249,2024-11-14,9.99,19.12,45.99,50.7,64,1,1,1,1,54.01,0,0,2,2,19
player_00250,2024-10-12,4.25,4.19,64.67,81.2,135.57,1,1,1,1,131.32,0,0,6,14,38
player_00251,2024-12-07,8.75,0.99,0.99,96.93,101.04,1,1,1,1,92.29,0,0,1,1,2
player_00252,2025-01-19,6.47,14.47,163.81,175.95,371.5,1,1,1,1,365.03,0,0,7,16,42
player_00253,2025-01-24,1.43,2.84,2.84,34.48,182.95,1,1,1,1,181.52,0,0,0,0,4
player_00254,2024-10-05,3,18.81,37.41,81.19,107.55,1,1,1,1,104.55,0,0,2,4,22
player_00255,2024-12-20,9.16,3.66,8.17,30.8,82.62,1,1,1,1,73.46,0,0,4,10,41
player_00256,2025-01-10,4.59,0,0,0,0,0,0,0,0,-4.59,0,0,3,3,17
player_00257,2024-12-04,4.65,0,0,0,0,0,0,0,0,-4.65,0,0,3,6,20
player_00258,2025-01-06,4.2,0,0,0,0,0,0,0,0,-4.2,0,0,2,4,6
player_00259,2024-10-26,0,5.96,51.07,122.08,135.75,1,1,1,1,135.75,0,0,2,4,20
player_00260,2024-11-21,2.47,13,128.93,246.27,261.98,1,1,1,1,259.51,0,0,4,9,17
player_00261,2025-01-13,4.76,0,0,0,0,0,0,0,0,-4.76,0,0,3,5,12
player_00262,2024-12-27,9.23,4.66,8.8,18,39.91,1,1,1,1,30.68,0,0,2,2,9
player_00263,2024-11-24,6.95,1.02,30.67,80.94,113.77,1,1,1,1,106.82,0,0,0,0,5
player_00264,2025-01-03,0,17.13,43.14,102.76,185.32,1,1,1,1,185.32,0,0,6,13,38
player_00265,2024-12-16,8.46,266.3,277.3,282.32,282.32,1,1,1,1,273.86,1,1,1,2,49
player_00266,2024-12-10,3.43,0,0,0,0,0,0,0,0,-3.43,0,0,0,0,6
player_00267,2024-12-13,8.88,0,0,0,0,0,0,0,0,-8.88,0,0,5,5,7
player_00268,2025-01-25,3.49,0,0,0,0,0,0,0,0,-3.49,0,0,1,1,12
player_00269,2024-10-15,4.16,0,0,0,0,0,0,0,0,-4.16,0,0,6,12,35
player_00270,2024-12-22,3.65,4.57,9.64,19.84,38.87,1,1,1,1,35.22,0,0,0,0,8
player_00271,2025-01-14,0,1.93,2.92,12.21,21.93,1,1,1,1,21.93,0,0,1,1,9
player_00272,2024-11-17,3.55,1.06,22.66,32.97,158.79,1,1,1,1,155.24,0,0,4,9,16
player_00273,2024-12-27,0,20.05,20.05,38.75,107.48,1,1,1,1,107.48,0,0,4,9,5
player_00274,2024-11-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
player_00275,2024-12-30,5,0,0,0,0,0,0,0,0,-5,0,0,3,3,9
player_00276,2024-11-21,8.65,131.01,199.22,227,259.14,1,1,1,1,250.49,0,0,6,12,34
player_00277,2024-10-07,5.69,0,0,0,0,0,0,0,0,-5.69,0,0,0,0,24
player_00278,2025-01-17,2.51,0,0,0,0,0,0,0,0,-2.51,1,0,2,4,40
